"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"03/01/2024 16:00 - 03/01/2024 16:15","Spain (ES)","30256.00","30731.00"
"03/01/2024 16:15 - 03/01/2024 16:30","Spain (ES)","30184.00","30904.00"
"03/01/2024 16:30 - 03/01/2024 16:45","Spain (ES)","30156.00","30960.00"
"03/01/2024 16:45 - 03/01/2024 17:00","Spain (ES)","30220.00","30959.00"
"03/01/2024 17:00 - 03/01/2024 17:15","Spain (ES)","30240.00","30740.00"
"03/01/2024 17:15 - 03/01/2024 17:30","Spain (ES)","30284.00","30885.00"
"03/01/2024 17:30 - 03/01/2024 17:45","Spain (ES)","30504.00","31206.00"
"03/01/2024 17:45 - 03/01/2024 18:00","Spain (ES)","30680.00","31641.00"
"03/01/2024 18:00 - 03/01/2024 18:15","Spain (ES)","31128.00","32268.00"
"03/01/2024 18:15 - 03/01/2024 18:30","Spain (ES)","31540.00","32671.00"
"03/01/2024 18:30 - 03/01/2024 18:45","Spain (ES)","31852.00","32945.00"
"03/01/2024 18:45 - 03/01/2024 19:00","Spain (ES)","32076.00","33116.00"
"03/01/2024 19:00 - 03/01/2024 19:15","Spain (ES)","32196.00","33235.00"
"03/01/2024 19:15 - 03/01/2024 19:30","Spain (ES)","32336.00","33343.00"
"03/01/2024 19:30 - 03/01/2024 19:45","Spain (ES)","32320.00","33479.00"
"03/01/2024 19:45 - 03/01/2024 20:00","Spain (ES)","32324.00","33627.00"
"03/01/2024 20:00 - 03/01/2024 20:15","Spain (ES)","32520.00","33877.00"
"03/01/2024 20:15 - 03/01/2024 20:30","Spain (ES)","32692.00","33966.00"
"03/01/2024 20:30 - 03/01/2024 20:45","Spain (ES)","32932.00","33980.00"
"03/01/2024 20:45 - 03/01/2024 21:00","Spain (ES)","33000.00","33885.00"
"03/01/2024 21:00 - 03/01/2024 21:15","Spain (ES)","32948.00","34012.00"
"03/01/2024 21:15 - 03/01/2024 21:30","Spain (ES)","32832.00","33588.00"
"03/01/2024 21:30 - 03/01/2024 21:45","Spain (ES)","32696.00","32963.00"
"03/01/2024 21:45 - 03/01/2024 22:00","Spain (ES)","32164.00","32192.00"
"03/01/2024 22:00 - 03/01/2024 22:15","Spain (ES)","31548.00","31350.00"
"03/01/2024 22:15 - 03/01/2024 22:30","Spain (ES)","30644.00","30503.00"
"03/01/2024 22:30 - 03/01/2024 22:45","Spain (ES)","30072.00","29714.00"
"03/01/2024 22:45 - 03/01/2024 23:00","Spain (ES)","29464.00","28983.00"
"03/01/2024 23:00 - 03/01/2024 23:15","Spain (ES)","28828.00","28266.00"
"03/01/2024 23:15 - 03/01/2024 23:30","Spain (ES)","28092.00","27617.00"
"03/01/2024 23:30 - 03/01/2024 23:45","Spain (ES)","27240.00","26992.00"
"03/01/2024 23:45 - 04/01/2024 00:00","Spain (ES)","26600.00","26392.00"
"04/01/2024 00:00 - 04/01/2024 00:15","Spain (ES)","25900.00","25304.00"
"04/01/2024 00:15 - 04/01/2024 00:30","Spain (ES)","25624.00","24754.00"
"04/01/2024 00:30 - 04/01/2024 00:45","Spain (ES)","25008.00","24224.00"
"04/01/2024 00:45 - 04/01/2024 01:00","Spain (ES)","24664.00","23723.00"
"04/01/2024 01:00 - 04/01/2024 01:15","Spain (ES)","24200.00","23179.00"
"04/01/2024 01:15 - 04/01/2024 01:30","Spain (ES)","23544.00","22767.00"
"04/01/2024 01:30 - 04/01/2024 01:45","Spain (ES)","23224.00","22410.00"
"04/01/2024 01:45 - 04/01/2024 02:00","Spain (ES)","22692.00","22107.00"
"04/01/2024 02:00 - 04/01/2024 02:15","Spain (ES)","22360.00","21775.00"
"04/01/2024 02:15 - 04/01/2024 02:30","Spain (ES)","22112.00","21563.00"
"04/01/2024 02:30 - 04/01/2024 02:45","Spain (ES)","21884.00","21389.00"
"04/01/2024 02:45 - 04/01/2024 03:00","Spain (ES)","21628.00","21249.00"
"04/01/2024 03:00 - 04/01/2024 03:15","Spain (ES)","21560.00","21089.00"
"04/01/2024 03:15 - 04/01/2024 03:30","Spain (ES)","21380.00","21010.00"
"04/01/2024 03:30 - 04/01/2024 03:45","Spain (ES)","21336.00","20957.00"
"04/01/2024 03:45 - 04/01/2024 04:00","Spain (ES)","21188.00","20927.00"
"04/01/2024 04:00 - 04/01/2024 04:15","Spain (ES)","21076.00","20869.00"
"04/01/2024 04:15 - 04/01/2024 04:30","Spain (ES)","21068.00","20881.00"
"04/01/2024 04:30 - 04/01/2024 04:45","Spain (ES)","20988.00","20917.00"
"04/01/2024 04:45 - 04/01/2024 05:00","Spain (ES)","21068.00","21001.00"
"04/01/2024 05:00 - 04/01/2024 05:15","Spain (ES)","21112.00","20943.00"
"04/01/2024 05:15 - 04/01/2024 05:30","Spain (ES)","21360.00","21210.00"
"04/01/2024 05:30 - 04/01/2024 05:45","Spain (ES)","21540.00","21605.00"
"04/01/2024 05:45 - 04/01/2024 06:00","Spain (ES)","21608.00","22122.00"
