Time_Interval,Country_Area,Total_Generation
01/03/2024 05:15:00 - 01/03/2024 05:30:00,Spain (ES),26616
01/03/2024 05:30:00 - 01/03/2024 05:45:00,Spain (ES),26748
01/03/2024 05:45:00 - 01/03/2024 06:00:00,Spain (ES),26984
01/03/2024 06:00:00 - 01/03/2024 06:15:00,Spain (ES),27076
01/03/2024 06:15:00 - 01/03/2024 06:30:00,Spain (ES),26676
01/03/2024 06:30:00 - 01/03/2024 06:45:00,Spain (ES),27104
01/03/2024 06:45:00 - 01/03/2024 07:00:00,Spain (ES),27588
01/03/2024 07:00:00 - 01/03/2024 07:15:00,Spain (ES),28404
01/03/2024 07:15:00 - 01/03/2024 07:30:00,Spain (ES),30156
01/03/2024 07:30:00 - 01/03/2024 07:45:00,Spain (ES),31512
01/03/2024 07:45:00 - 01/03/2024 08:00:00,Spain (ES),32336
01/03/2024 08:00:00 - 01/03/2024 08:15:00,Spain (ES),32516
01/03/2024 08:15:00 - 01/03/2024 08:30:00,Spain (ES),33372
01/03/2024 08:30:00 - 01/03/2024 08:45:00,Spain (ES),34344
01/03/2024 08:45:00 - 01/03/2024 09:00:00,Spain (ES),34696
01/03/2024 09:00:00 - 01/03/2024 09:15:00,Spain (ES),34504
01/03/2024 09:15:00 - 01/03/2024 09:30:00,Spain (ES),36304
01/03/2024 09:30:00 - 01/03/2024 09:45:00,Spain (ES),36796
01/03/2024 09:45:00 - 01/03/2024 10:00:00,Spain (ES),37048
01/03/2024 10:00:00 - 01/03/2024 10:15:00,Spain (ES),36912
01/03/2024 10:15:00 - 01/03/2024 10:30:00,Spain (ES),37540
01/03/2024 10:30:00 - 01/03/2024 10:45:00,Spain (ES),38080
01/03/2024 10:45:00 - 01/03/2024 11:00:00,Spain (ES),37976
01/03/2024 11:00:00 - 01/03/2024 11:15:00,Spain (ES),37728
01/03/2024 11:15:00 - 01/03/2024 11:30:00,Spain (ES),38376
01/03/2024 11:30:00 - 01/03/2024 11:45:00,Spain (ES),38312
01/03/2024 11:45:00 - 01/03/2024 12:00:00,Spain (ES),38072
01/03/2024 12:00:00 - 01/03/2024 12:15:00,Spain (ES),37932
01/03/2024 12:15:00 - 01/03/2024 12:30:00,Spain (ES),37900
01/03/2024 12:30:00 - 01/03/2024 12:45:00,Spain (ES),37940
01/03/2024 12:45:00 - 01/03/2024 13:00:00,Spain (ES),37972
01/03/2024 13:00:00 - 01/03/2024 13:15:00,Spain (ES),37916
01/03/2024 13:15:00 - 01/03/2024 13:30:00,Spain (ES),37688
01/03/2024 13:30:00 - 01/03/2024 13:45:00,Spain (ES),37664
01/03/2024 13:45:00 - 01/03/2024 14:00:00,Spain (ES),37248
01/03/2024 14:00:00 - 01/03/2024 14:15:00,Spain (ES),37184
01/03/2024 14:15:00 - 01/03/2024 14:30:00,Spain (ES),36968
01/03/2024 14:30:00 - 01/03/2024 14:45:00,Spain (ES),37024
01/03/2024 14:45:00 - 01/03/2024 15:00:00,Spain (ES),36924
01/03/2024 15:00:00 - 01/03/2024 15:15:00,Spain (ES),36764
01/03/2024 15:15:00 - 01/03/2024 15:30:00,Spain (ES),36660
01/03/2024 15:30:00 - 01/03/2024 15:45:00,Spain (ES),36576
01/03/2024 15:45:00 - 01/03/2024 16:00:00,Spain (ES),36744
01/03/2024 16:00:00 - 01/03/2024 16:15:00,Spain (ES),36608
