"MTU","Out Area","In Area","Physical Flow (MW)"
"02/01/2024 19:00:00 - 02/01/2024 20:00:00","Spain (ES)","Portugal (PT)","720.96"
"02/01/2024 19:00:00 - 02/01/2024 20:00:00","Portugal (PT)","Spain (ES)","0.00"
"02/01/2024 20:00:00 - 02/01/2024 21:00:00","Spain (ES)","France (FR)","0.00"
"02/01/2024 20:00:00 - 02/01/2024 21:00:00","France (FR)","Spain (ES)","2324.18"
"02/01/2024 20:00:00 - 02/01/2024 21:00:00","Spain (ES)","Portugal (PT)","1496.00"
"02/01/2024 20:00:00 - 02/01/2024 21:00:00","Portugal (PT)","Spain (ES)","0.00"
"02/01/2024 21:00:00 - 02/01/2024 22:00:00","Spain (ES)","France (FR)","0.00"
"02/01/2024 21:00:00 - 02/01/2024 22:00:00","France (FR)","Spain (ES)","2723.77"
"02/01/2024 21:00:00 - 02/01/2024 22:00:00","Spain (ES)","Portugal (PT)","2385.22"
"02/01/2024 21:00:00 - 02/01/2024 22:00:00","Portugal (PT)","Spain (ES)","0.00"
"02/01/2024 22:00:00 - 02/01/2024 23:00:00","Spain (ES)","France (FR)","0.00"
"02/01/2024 22:00:00 - 02/01/2024 23:00:00","France (FR)","Spain (ES)","2578.25"
"02/01/2024 22:00:00 - 02/01/2024 23:00:00","Spain (ES)","Portugal (PT)","2875.38"
"02/01/2024 22:00:00 - 02/01/2024 23:00:00","Portugal (PT)","Spain (ES)","0.00"
"02/01/2024 23:00:00 - 03/01/2024 00:00:00","Spain (ES)","France (FR)","0.00"
"02/01/2024 23:00:00 - 03/01/2024 00:00:00","France (FR)","Spain (ES)","2504.00"
"02/01/2024 23:00:00 - 03/01/2024 00:00:00","Spain (ES)","Portugal (PT)","2507.51"
"02/01/2024 23:00:00 - 03/01/2024 00:00:00","Portugal (PT)","Spain (ES)","0.00"
"03/01/2024 00:00:00 - 03/01/2024 01:00:00","Spain (ES)","France (FR)","0.00"
"03/01/2024 00:00:00 - 03/01/2024 01:00:00","France (FR)","Spain (ES)","2697.65"
"03/01/2024 00:00:00 - 03/01/2024 01:00:00","Spain (ES)","Portugal (PT)","2478.74"
"03/01/2024 00:00:00 - 03/01/2024 01:00:00","Portugal (PT)","Spain (ES)","0.00"
"03/01/2024 01:00:00 - 03/01/2024 02:00:00","Spain (ES)","France (FR)","0.00"
"03/01/2024 01:00:00 - 03/01/2024 02:00:00","France (FR)","Spain (ES)","2740.87"
"03/01/2024 01:00:00 - 03/01/2024 02:00:00","Spain (ES)","Portugal (PT)","2768.48"
"03/01/2024 01:00:00 - 03/01/2024 02:00:00","Portugal (PT)","Spain (ES)","0.00"
"03/01/2024 02:00:00 - 03/01/2024 03:00:00","Spain (ES)","France (FR)","0.00"
"03/01/2024 02:00:00 - 03/01/2024 03:00:00","France (FR)","Spain (ES)","2077.71"
"03/01/2024 02:00:00 - 03/01/2024 03:00:00","Spain (ES)","Portugal (PT)","2762.16"
"03/01/2024 02:00:00 - 03/01/2024 03:00:00","Portugal (PT)","Spain (ES)","0.00"
"03/01/2024 03:00:00 - 03/01/2024 04:00:00","Spain (ES)","France (FR)","0.00"
"03/01/2024 03:00:00 - 03/01/2024 04:00:00","France (FR)","Spain (ES)","2236.68"
"03/01/2024 03:00:00 - 03/01/2024 04:00:00","Spain (ES)","Portugal (PT)","2808.13"
"03/01/2024 03:00:00 - 03/01/2024 04:00:00","Portugal (PT)","Spain (ES)","0.00"
"03/01/2024 04:00:00 - 03/01/2024 05:00:00","Spain (ES)","France (FR)","0.00"
"03/01/2024 04:00:00 - 03/01/2024 05:00:00","France (FR)","Spain (ES)","2051.18"
"03/01/2024 04:00:00 - 03/01/2024 05:00:00","Spain (ES)","Portugal (PT)","2844.45"
"03/01/2024 04:00:00 - 03/01/2024 05:00:00","Portugal (PT)","Spain (ES)","0.00"
"03/01/2024 05:00:00 - 03/01/2024 06:00:00","Spain (ES)","France (FR)","0.00"
"03/01/2024 05:00:00 - 03/01/2024 06:00:00","France (FR)","Spain (ES)","2627.44"
"03/01/2024 05:00:00 - 03/01/2024 06:00:00","Spain (ES)","Portugal (PT)","2839.56"
"03/01/2024 05:00:00 - 03/01/2024 06:00:00","Portugal (PT)","Spain (ES)","0.00"
"03/01/2024 06:00:00 - 03/01/2024 07:00:00","Spain (ES)","France (FR)","0.00"
"03/01/2024 06:00:00 - 03/01/2024 07:00:00","France (FR)","Spain (ES)","2609.56"
"03/01/2024 06:00:00 - 03/01/2024 07:00:00","Spain (ES)","Portugal (PT)","2218.87"
"03/01/2024 06:00:00 - 03/01/2024 07:00:00","Portugal (PT)","Spain (ES)","0.00"
"03/01/2024 07:00:00 - 03/01/2024 08:00:00","Spain (ES)","France (FR)","0.00"
"03/01/2024 07:00:00 - 03/01/2024 08:00:00","France (FR)","Spain (ES)","2509.07"
"03/01/2024 07:00:00 - 03/01/2024 08:00:00","Spain (ES)","Portugal (PT)","1818.63"
"03/01/2024 07:00:00 - 03/01/2024 08:00:00","Portugal (PT)","Spain (ES)","0.00"
"03/01/2024 08:00:00 - 03/01/2024 09:00:00","Spain (ES)","France (FR)","0.00"
"03/01/2024 08:00:00 - 03/01/2024 09:00:00","France (FR)","Spain (ES)","2502.27"
"03/01/2024 08:00:00 - 03/01/2024 09:00:00","Spain (ES)","Portugal (PT)","1294.20"
"03/01/2024 08:00:00 - 03/01/2024 09:00:00","Portugal (PT)","Spain (ES)","0.00"
"03/01/2024 09:00:00 - 03/01/2024 10:00:00","Spain (ES)","France (FR)","0.00"
"03/01/2024 09:00:00 - 03/01/2024 10:00:00","France (FR)","Spain (ES)","2447.07"
"03/01/2024 09:00:00 - 03/01/2024 10:00:00","Spain (ES)","Portugal (PT)","1253.71"
"03/01/2024 09:00:00 - 03/01/2024 10:00:00","Portugal (PT)","Spain (ES)","0.00"
"03/01/2024 10:00:00 - 03/01/2024 11:00:00","Spain (ES)","France (FR)","0.00"
"03/01/2024 10:00:00 - 03/01/2024 11:00:00","France (FR)","Spain (ES)","2871.37"
"03/01/2024 10:00:00 - 03/01/2024 11:00:00","Spain (ES)","Portugal (PT)","2206.01"
"03/01/2024 10:00:00 - 03/01/2024 11:00:00","Portugal (PT)","Spain (ES)","0.00"
"03/01/2024 11:00:00 - 03/01/2024 12:00:00","Spain (ES)","France (FR)","0.00"
"03/01/2024 11:00:00 - 03/01/2024 12:00:00","France (FR)","Spain (ES)","3052.70"
"03/01/2024 11:00:00 - 03/01/2024 12:00:00","Spain (ES)","Portugal (PT)","3020.72"
"03/01/2024 11:00:00 - 03/01/2024 12:00:00","Portugal (PT)","Spain (ES)","0.00"
"03/01/2024 12:00:00 - 03/01/2024 13:00:00","Spain (ES)","France (FR)","0.00"
"03/01/2024 12:00:00 - 03/01/2024 13:00:00","France (FR)","Spain (ES)","3045.44"
"03/01/2024 12:00:00 - 03/01/2024 13:00:00","Spain (ES)","Portugal (PT)","3203.78"
"03/01/2024 12:00:00 - 03/01/2024 13:00:00","Portugal (PT)","Spain (ES)","0.00"
"03/01/2024 13:00:00 - 03/01/2024 14:00:00","Spain (ES)","France (FR)","0.00"
"03/01/2024 13:00:00 - 03/01/2024 14:00:00","France (FR)","Spain (ES)","2938.71"
"03/01/2024 13:00:00 - 03/01/2024 14:00:00","Spain (ES)","Portugal (PT)","3198.53"
"03/01/2024 13:00:00 - 03/01/2024 14:00:00","Portugal (PT)","Spain (ES)","0.00"
"03/01/2024 14:00:00 - 03/01/2024 15:00:00","Spain (ES)","France (FR)","0.00"
"03/01/2024 14:00:00 - 03/01/2024 15:00:00","France (FR)","Spain (ES)","2480.77"
"03/01/2024 14:00:00 - 03/01/2024 15:00:00","Spain (ES)","Portugal (PT)","3204.38"
"03/01/2024 14:00:00 - 03/01/2024 15:00:00","Portugal (PT)","Spain (ES)","0.00"
"03/01/2024 15:00:00 - 03/01/2024 16:00:00","Spain (ES)","France (FR)","0.00"
"03/01/2024 15:00:00 - 03/01/2024 16:00:00","France (FR)","Spain (ES)","2386.02"
"03/01/2024 15:00:00 - 03/01/2024 16:00:00","Spain (ES)","Portugal (PT)","3459.58"
"03/01/2024 15:00:00 - 03/01/2024 16:00:00","Portugal (PT)","Spain (ES)","0.00"
"03/01/2024 16:00:00 - 03/01/2024 17:00:00","Spain (ES)","France (FR)","0.00"
"03/01/2024 16:00:00 - 03/01/2024 17:00:00","France (FR)","Spain (ES)","3151.34"
"03/01/2024 16:00:00 - 03/01/2024 17:00:00","Spain (ES)","Portugal (PT)","3172.02"
"03/01/2024 16:00:00 - 03/01/2024 17:00:00","Portugal (PT)","Spain (ES)","0.00"
"03/01/2024 17:00:00 - 03/01/2024 18:00:00","Spain (ES)","France (FR)","0.00"
"03/01/2024 17:00:00 - 03/01/2024 18:00:00","France (FR)","Spain (ES)","3353.46"
"03/01/2024 17:00:00 - 03/01/2024 18:00:00","Spain (ES)","Portugal (PT)","2718.03"
"03/01/2024 17:00:00 - 03/01/2024 18:00:00","Portugal (PT)","Spain (ES)","0.00"
"03/01/2024 18:00:00 - 03/01/2024 19:00:00","Spain (ES)","France (FR)","0.00"
"03/01/2024 18:00:00 - 03/01/2024 19:00:00","France (FR)","Spain (ES)","3304.12"
"03/01/2024 18:00:00 - 03/01/2024 19:00:00","Spain (ES)","Portugal (PT)","1982.21"
"03/01/2024 18:00:00 - 03/01/2024 19:00:00","Portugal (PT)","Spain (ES)","0.00"
"03/01/2024 19:00:00 - 03/01/2024 20:00:00","Spain (ES)","France (FR)","0.00"
"03/01/2024 19:00:00 - 03/01/2024 20:00:00","France (FR)","Spain (ES)","3232.92"
"03/01/2024 19:00:00 - 03/01/2024 20:00:00","Spain (ES)","Portugal (PT)","1370.53"
"03/01/2024 19:00:00 - 03/01/2024 20:00:00","Portugal (PT)","Spain (ES)","0.00"
"03/01/2024 20:00:00 - 03/01/2024 21:00:00","Spain (ES)","France (FR)","0.00"
"03/01/2024 20:00:00 - 03/01/2024 21:00:00","France (FR)","Spain (ES)","3255.42"
"03/01/2024 20:00:00 - 03/01/2024 21:00:00","Spain (ES)","Portugal (PT)","1369.49"
"03/01/2024 20:00:00 - 03/01/2024 21:00:00","Portugal (PT)","Spain (ES)","0.00"
"03/01/2024 21:00:00 - 03/01/2024 22:00:00","Spain (ES)","France (FR)","0.00"
