"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"02/01/2023 15:45 - 02/01/2023 16:00","CTA|ES","26868.00","27317.00"
"02/01/2023 16:00 - 02/01/2023 16:15","CTA|ES","26816.00","27250.00"
"02/01/2023 16:15 - 02/01/2023 16:30","CTA|ES","26804.00","27312.00"
"02/01/2023 16:30 - 02/01/2023 16:45","CTA|ES","26800.00","27415.00"
"02/01/2023 16:45 - 02/01/2023 17:00","CTA|ES","26780.00","27561.00"
"02/01/2023 17:00 - 02/01/2023 17:15","CTA|ES","26736.00","27663.00"
"02/01/2023 17:15 - 02/01/2023 17:30","CTA|ES","26712.00","27911.00"
"02/01/2023 17:30 - 02/01/2023 17:45","CTA|ES","26852.00","28210.00"
"02/01/2023 17:45 - 02/01/2023 18:00","CTA|ES","27296.00","28531.00"
"02/01/2023 18:00 - 02/01/2023 18:15","CTA|ES","27660.00","28956.00"
"02/01/2023 18:15 - 02/01/2023 18:30","CTA|ES","28032.00","29208.00"
"02/01/2023 18:30 - 02/01/2023 18:45","CTA|ES","28256.00","29381.00"
"02/01/2023 18:45 - 02/01/2023 19:00","CTA|ES","28388.00","29499.00"
"02/01/2023 19:00 - 02/01/2023 19:15","CTA|ES","28476.00","29556.00"
"02/01/2023 19:15 - 02/01/2023 19:30","CTA|ES","28620.00","29675.00"
"02/01/2023 19:30 - 02/01/2023 19:45","CTA|ES","28788.00","29839.00"
"02/01/2023 19:45 - 02/01/2023 20:00","CTA|ES","28880.00","30021.00"
"02/01/2023 20:00 - 02/01/2023 20:15","CTA|ES","29192.00","30321.00"
"02/01/2023 20:15 - 02/01/2023 20:30","CTA|ES","29356.00","30435.00"
"02/01/2023 20:30 - 02/01/2023 20:45","CTA|ES","29508.00","30463.00"
"02/01/2023 20:45 - 02/01/2023 21:00","CTA|ES","29520.00","30384.00"
"02/01/2023 21:00 - 02/01/2023 21:15","CTA|ES","29416.00","30469.00"
"02/01/2023 21:15 - 02/01/2023 21:30","CTA|ES","29308.00","30120.00"
"02/01/2023 21:30 - 02/01/2023 21:45","CTA|ES","28884.00","29618.00"
"02/01/2023 21:45 - 02/01/2023 22:00","CTA|ES","28300.00","28996.00"
"02/01/2023 22:00 - 02/01/2023 22:15","CTA|ES","27700.00","28368.00"
"02/01/2023 22:15 - 02/01/2023 22:30","CTA|ES","27196.00","27623.00"
"02/01/2023 22:30 - 02/01/2023 22:45","CTA|ES","26524.00","26877.00"
"02/01/2023 22:45 - 02/01/2023 23:00","CTA|ES","25912.00","26163.00"
"02/01/2023 23:00 - 02/01/2023 23:15","CTA|ES","25272.00","25352.00"
"02/01/2023 23:15 - 02/01/2023 23:30","CTA|ES","24720.00","24797.00"
"02/01/2023 23:30 - 02/01/2023 23:45","CTA|ES","24084.00","24354.00"
"02/01/2023 23:45 - 03/01/2023 00:00","CTA|ES","23496.00","23990.00"
"03/01/2023 00:00 - 03/01/2023 00:15","CTA|ES","23232.00","23653.00"
"03/01/2023 00:15 - 03/01/2023 00:30","CTA|ES","23080.00","23240.00"
"03/01/2023 00:30 - 03/01/2023 00:45","CTA|ES","22688.00","22810.00"
"03/01/2023 00:45 - 03/01/2023 01:00","CTA|ES","22156.00","22380.00"
"03/01/2023 01:00 - 03/01/2023 01:15","CTA|ES","21720.00","21908.00"
"03/01/2023 01:15 - 03/01/2023 01:30","CTA|ES","21352.00","21525.00"
