"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"11/01/2022 06:00 - 11/01/2022 07:00","CTA|ES","26496.00","26075.00"
"11/01/2022 07:00 - 11/01/2022 08:00","CTA|ES","30590.00","30194.00"
"11/01/2022 08:00 - 11/01/2022 09:00","CTA|ES","32775.00","32259.00"
"11/01/2022 09:00 - 11/01/2022 10:00","CTA|ES","33469.00","32806.00"
"11/01/2022 10:00 - 11/01/2022 11:00","CTA|ES","33755.00","33250.00"
"11/01/2022 11:00 - 11/01/2022 12:00","CTA|ES","33521.00","33149.00"
"11/01/2022 12:00 - 11/01/2022 13:00","CTA|ES","33372.00","33165.00"
"11/01/2022 13:00 - 11/01/2022 14:00","CTA|ES","33181.00","33138.00"
"11/01/2022 14:00 - 11/01/2022 15:00","CTA|ES","32658.00","32810.00"
"11/01/2022 15:00 - 11/01/2022 16:00","CTA|ES","31846.00","32109.00"
"11/01/2022 16:00 - 11/01/2022 17:00","CTA|ES","31487.00","31753.00"
"11/01/2022 17:00 - 11/01/2022 18:00","CTA|ES","31697.00","31976.00"
"11/01/2022 18:00 - 11/01/2022 19:00","CTA|ES","33310.00","33636.00"
"11/01/2022 19:00 - 11/01/2022 20:00","CTA|ES","34668.00","34525.00"
"11/01/2022 20:00 - 11/01/2022 21:00","CTA|ES","35194.00","35159.00"
"11/01/2022 21:00 - 11/01/2022 22:00","CTA|ES","34045.00","34211.00"
"11/01/2022 22:00 - 11/01/2022 23:00","CTA|ES","31023.00","31187.00"
"11/01/2022 23:00 - 12/01/2022 00:00","CTA|ES","28078.00","28014.00"
"12/01/2022 00:00 - 12/01/2022 01:00","CTA|ES","26504.00","26620.00"
"12/01/2022 01:00 - 12/01/2022 02:00","CTA|ES","24986.00","24791.00"
"12/01/2022 02:00 - 12/01/2022 03:00","CTA|ES","24008.00","23761.00"
"12/01/2022 03:00 - 12/01/2022 04:00","CTA|ES","23540.00","23267.00"
"12/01/2022 04:00 - 12/01/2022 05:00","CTA|ES","23447.00","23266.00"
"12/01/2022 05:00 - 12/01/2022 06:00","CTA|ES","24007.00","23942.00"
"12/01/2022 06:00 - 12/01/2022 07:00","CTA|ES","26686.00","26567.00"
"12/01/2022 07:00 - 12/01/2022 08:00","CTA|ES","30786.00","30727.00"
"12/01/2022 08:00 - 12/01/2022 09:00","CTA|ES","33129.00","33023.00"
"12/01/2022 09:00 - 12/01/2022 10:00","CTA|ES","33884.00","33640.00"
"12/01/2022 10:00 - 12/01/2022 11:00","CTA|ES","34134.00","34005.00"
"12/01/2022 11:00 - 12/01/2022 12:00","CTA|ES","33899.00","33823.00"
"12/01/2022 12:00 - 12/01/2022 13:00","CTA|ES","33662.00","33717.00"
"12/01/2022 13:00 - 12/01/2022 14:00","CTA|ES","33364.00","33604.00"
"12/01/2022 14:00 - 12/01/2022 15:00","CTA|ES","32906.00","33211.00"
"12/01/2022 15:00 - 12/01/2022 16:00","CTA|ES","32136.00","32362.00"
"12/01/2022 16:00 - 12/01/2022 17:00","CTA|ES","31712.00","32072.00"
"12/01/2022 17:00 - 12/01/2022 18:00","CTA|ES","31902.00","32421.00"
"12/01/2022 18:00 - 12/01/2022 19:00","CTA|ES","33783.00","34213.00"
"12/01/2022 19:00 - 12/01/2022 20:00","CTA|ES","35298.00","35503.00"
"12/01/2022 20:00 - 12/01/2022 21:00","CTA|ES","35742.00","35881.00"
"12/01/2022 21:00 - 12/01/2022 22:00","CTA|ES","34267.00","34777.00"
"12/01/2022 22:00 - 12/01/2022 23:00","CTA|ES","31228.00","31561.00"
"12/01/2022 23:00 - 13/01/2022 00:00","CTA|ES","28306.00","28513.00"
"13/01/2022 00:00 - 13/01/2022 01:00","CTA|ES","26738.00","26592.00"
"13/01/2022 01:00 - 13/01/2022 02:00","CTA|ES","25102.00","24915.00"
"13/01/2022 02:00 - 13/01/2022 03:00","CTA|ES","24069.00","23908.00"
"13/01/2022 03:00 - 13/01/2022 04:00","CTA|ES","23513.00","23482.00"
"13/01/2022 04:00 - 13/01/2022 05:00","CTA|ES","23553.00","23404.00"
"13/01/2022 05:00 - 13/01/2022 06:00","CTA|ES","24121.00","24032.00"
"13/01/2022 06:00 - 13/01/2022 07:00","CTA|ES","27007.00","26656.00"
"13/01/2022 07:00 - 13/01/2022 08:00","CTA|ES","31285.00","30756.00"
"13/01/2022 08:00 - 13/01/2022 09:00","CTA|ES","33618.00","33158.00"
"13/01/2022 09:00 - 13/01/2022 10:00","CTA|ES","34505.00","33879.00"
"13/01/2022 10:00 - 13/01/2022 11:00","CTA|ES","34961.00","34300.00"
"13/01/2022 11:00 - 13/01/2022 12:00","CTA|ES","34705.00","34012.00"
"13/01/2022 12:00 - 13/01/2022 13:00","CTA|ES","34378.00","33882.00"
"13/01/2022 13:00 - 13/01/2022 14:00","CTA|ES","34313.00","33840.00"
"13/01/2022 14:00 - 13/01/2022 15:00","CTA|ES","33702.00","33496.00"
"13/01/2022 15:00 - 13/01/2022 16:00","CTA|ES","32845.00","32774.00"
"13/01/2022 16:00 - 13/01/2022 17:00","CTA|ES","32625.00","32410.00"
"13/01/2022 17:00 - 13/01/2022 18:00","CTA|ES","32886.00","32673.00"
"13/01/2022 18:00 - 13/01/2022 19:00","CTA|ES","34566.00","34420.00"
"13/01/2022 19:00 - 13/01/2022 20:00","CTA|ES","35965.00","35739.00"
"13/01/2022 20:00 - 13/01/2022 21:00","CTA|ES","36414.00","36165.00"
"13/01/2022 21:00 - 13/01/2022 22:00","CTA|ES","34979.00","34924.00"
"13/01/2022 22:00 - 13/01/2022 23:00","CTA|ES","31916.00","31880.00"
"13/01/2022 23:00 - 14/01/2022 00:00","CTA|ES","28876.00","28781.00"
"14/01/2022 00:00 - 14/01/2022 01:00","CTA|ES","27354.00","27357.00"
"14/01/2022 01:00 - 14/01/2022 02:00","CTA|ES","25678.00","25667.00"
"14/01/2022 02:00 - 14/01/2022 03:00","CTA|ES","24496.00","24522.00"
"14/01/2022 03:00 - 14/01/2022 04:00","CTA|ES","24028.00","23945.00"
"14/01/2022 04:00 - 14/01/2022 05:00","CTA|ES","23917.00","23873.00"
"14/01/2022 05:00 - 14/01/2022 06:00","CTA|ES","24554.00","24475.00"
"14/01/2022 06:00 - 14/01/2022 07:00","CTA|ES","27454.00","27280.00"
